SWEREFID	Stationskoordinat N/X	Stationskoordinat E/Y	Provdatum	Yr	Mo	Day	pH	Alk/Acid (mekv/l)	Cl (mekv/l)	TOC (mg/l)	Abs._F (420nm/5cm)	NO2+NO3-N (?g/l)	Tot-P (?g/l)	SO4* mekv/l	BC* mekv/l	ANC mekv/l
6318978-570563	6318978	570563	3028060800	1999	12	15	6.86	0.146		8.5			14			
6318978-570563	6318978	570563	3030825600	2000	1	16	6.49	0.133	0.22	10.6	0.116	183	8	0.21834	0.45458	0.224928571
6318978-570563	6318978	570563	3030825600	2000	1	16	6.49	0.133		10.6			8			
6318978-570563	6318978	570563	3033417600	2000	2	15	6.52	0.131	0.211	11.3	0.139	227	10	0.221267	0.459579	0.223785714
6318978-570563	6318978	570563	3033417600	2000	2	15	6.52	0.131		11.3			10			
6318978-570563	6318978	570563	3035923200	2000	3	15	6.85	0.131	0.203	10.3	0.14	176	12	0.219091	0.482467	0.252428571
6318978-570563	6318978	570563	3035923200	2000	3	15	6.85	0.131		10.3			12			
6318978-570563	6318978	570563	3038688000	2000	4	16	6.77	0.132	0.215	10.8	0.131	172	10	0.224855	0.454135	0.218714286
6318978-570563	6318978	570563	3038688000	2000	4	16	6.77	0.132		10.8			10			
6318978-570563	6318978	570563	3041193600	2000	5	15	6.81	0.169	0.243	11.2	0.123	22	15	0.196971	0.467027	0.270428571
6318978-570563	6318978	570563	3041193600	2000	5	15	6.81	0.169		11.2			15			
6318978-570563	6318978	570563	3044131200	2000	6	18	6.98	0.161	0.258	11.1	0.101	6	15	0.202426	0.437362	0.236571429
6318978-570563	6318978	570563	3044131200	2000	6	18	6.98	0.161		11.1			15			
6318978-570563	6318978	570563	3046636800	2000	7	17	6.95	0.173	0.227	10.8	0.085	3	12	0.190619	0.484803	0.295785714
6318978-570563	6318978	570563	3046636800	2000	7	17	6.95	0.173		10.8			12			
6318978-570563	6318978	570563	3049574400	2000	8	20	6.93	0.19	0.221	9.5	0.086	5	15	0.191237	0.496469	0.306642857
6318978-570563	6318978	570563	3049574400	2000	8	20	6.93	0.19		9.5			15			
6318978-570563	6318978	570563	3051648000	2000	9	13	7.08	0.181	0.228	10.4	0.071	12	11	0.187516	0.517692	0.331142857
6318978-570563	6318978	570563	3051648000	2000	9	13	7.08	0.181		10.4			11			
6318978-570563	6318978	570563	3054412800	2000	10	15	6.78	0.182	0.221	8.7	0.055	38	9	0.181237	0.507469	0.325285714
6318978-570563	6318978	570563	3054412800	2000	10	15	6.78	0.182		8.7			9			
6318978-570563	6318978	570563	3057091200	2000	11	15	6.81	0.175	0.219	9.5	0.075	96	10	0.202443	0.524691	0.317142857
6318978-570563	6318978	570563	3057091200	2000	11	15	6.81	0.175		9.5			10			
6318978-570563	6318978	570563	3059856000	2000	12	17	5.46	0	0.225	35.4	0.724	105	25	0.182825	0.552025	0.3635
6318978-570563	6318978	570563	3062275200	2001	1	14	6.35	0.147	0.221	17.1	0.271	163	15	0.191237	0.528469	0.327357143
6318978-570563	6318978	570563	3062275200	2001	1	14	6.35	0.147		17.1			15			
6318978-570563	6318978	570563	3064953600	2001	2	14	6.3	0.142	0.209	16.8	0.298	215	13	0.180473	0.498801	0.304642857
6318978-570563	6318978	570563	3064953600	2001	2	14	6.3	0.142		16.8			13			
6318978-570563	6318978	570563	3067459200	2001	3	15	6.38	0.141	0.196	17.5	0.299	252	14	0.159812	0.487244	0.311
6318978-570563	6318978	570563	3067459200	2001	3	15	6.38	0.141		17.5			14			
6318978-570563	6318978	570563	3070310400	2001	4	17	6.72	0.149	0.203	15.1	0.249	202	13	0.153091	0.481467	0.315571429
6318978-570563	6318978	570563	3070310400	2001	4	17	6.72	0.149		15.1			13			
6318978-570563	6318978	570563	3072902400	2001	5	17	6.5	0.146	0.2	14.6	0.23	133	16	0.1594	0.4818	0.3145
6318978-570563	6318978	570563	3072902400	2001	5	17	6.5	0.146		14.6			16			
6318978-570563	6318978	570563	3075235200	2001	6	13	6.69	0.148	0.218	13.7	0.162	35	14	0.159546	0.452802	0.2925
6318978-570563	6318978	570563	3075235200	2001	6	13	6.69	0.148		13.7			14			
6318978-570563	6318978	570563	3078000000	2001	7	15	6.86	0.165	0.222	11.1	0.135	2	19	0.161134	0.488358	0.328857143
6318978-570563	6318978	570563	3078000000	2001	7	15	6.86	0.165		11.1			19			
6318978-570563	6318978	570563	3080592000	2001	8	14	6.93	0.16	0.211	11.2	0.096	15	14	0.158267	0.480579	0.322928571
6318978-570563	6318978	570563	3080592000	2001	8	14	6.93	0.16		11.2			14			
6318978-570563	6318978	570563	3083443200	2001	9	16	6.94	0.147	0.206	10.2	0.093	16	12	0.153782	0.469134	0.315857143
6318978-570563	6318978	570563	3083443200	2001	9	16	6.94	0.147		10.2			12			
6318978-570563	6318978	570563	3085948800	2001	10	15	6.56	0.174	0.204	12.5	0.178	52	14	0.149988	0.516356	0.364285714
6318978-570563	6318978	570563	3085948800	2001	10	15	6.56	0.174		12.5			14			
6318978-570563	6318978	570563	3088627200	2001	11	15	6.66	0.168	0.203	14.5	0.241	95	14	0.148091	0.504467	0.351214286
6318978-570563	6318978	570563	3088627200	2001	11	15	6.66	0.168		14.5			14			
6318978-570563	6318978	570563	3091305600	2001	12	16	6.68	0.165	0.209	16.9	0.261	143	11	0.144473	0.487801	0.334785714
6318978-570563	6318978	570563	3091305600	2001	12	16	6.68	0.165		16.9			11			
6318978-570563	6318978	570563	3093897600	2002	1	15	6.51	0.187	0.201	20	0.331	172	11	0.146297	0.550689	0.393714286
6318978-570563	6318978	570563	3093897600	2002	1	15	6.51	0.187		20			11			
6318978-570563	6318978	570563	3096316800	2002	2	12	6.54	0.118	0.193	16.2	0.318	227	17	0.127121	0.418577	0.276785714
6318978-570563	6318978	570563	3096316800	2002	2	12	6.54	0.118		16.2			17			
6318978-570563	6318978	570563	3099168000	2002	3	17	6.36	0.097	0.183	17.5	0.316	190	13	0.132151	0.463687	0.319428571
6318978-570563	6318978	570563	3099168000	2002	3	17	6.36	0.097		17.5			13			
6318978-570563	6318978	570563	3101673600	2002	4	15	6.67	0.118	0.18	16.4	0.289	195	14	0.13446	0.47302	0.326071429
6318978-570563	6318978	570563	3101673600	2002	4	15	6.67	0.118		16.4			14			
6318978-570563	6318978	570563	3104179200	2002	5	14	6.7	0.119	0.181	16.1	0.238	131	17	0.137357	0.451909	0.306642857
6318978-570563	6318978	570563	3104179200	2002	5	14	6.7	0.119		16.1			17			
6318978-570563	6318978	570563	3107030400	2002	6	16	6.81	0.153	0.19	14.2	0.181	44	17	0.14343	0.47091	0.325857143
6318978-570563	6318978	570563	3107030400	2002	6	16	6.81	0.153		14.2			17			
6318978-570563	6318978	570563	3109536000	2002	7	15	6.99	0.166	0.198	13.5	0.126	4	13	0.143606	0.476022	0.333714286
6318978-570563	6318978	570563	3109536000	2002	7	15	6.99	0.166		13.5			13			
6318978-570563	6318978	570563	3112214400	2002	8	15	6.88	0.188	0.214	11.7	0.1	6	13	0.134958	0.488246	0.354571429
6318978-570563	6318978	570563	3112214400	2002	8	15	6.88	0.188		11.7			13			
6318978-570563	6318978	570563	3114892800	2002	9	15	6.94	0.201	0.206	11.8	0.094	12	30	0.139782	0.494134	0.355142857
6318978-570563	6318978	570563	3114892800	2002	9	15	6.94	0.201		11.8			30			
6318978-570563	6318978	570563	3117484800	2002	10	15	6.85	0.151	0.205	10.5	0.066	28	12	0.152885	0.465245	0.312
6318978-570563	6318978	570563	3117484800	2002	10	15	6.85	0.151		10.5			12			
6318978-570563	6318978	570563	3120163200	2002	11	15	6.7	0.157	0.202	11.6	0.082	79	14	0.215194	0.487578	0.268357143
6318978-570563	6318978	570563	3120163200	2002	11	15	6.7	0.157		11.6			14			
6318978-570563	6318978	570563	3122323200	2002	12	10	6.62	0.148	0.202	10.4	0.128	108	10	0.192194	0.462578	0.264285714
6318978-570563	6318978	570563	3122323200	2002	12	10	6.62	0.148		10.4			10			
6318978-570563	6318978	570563	3125347200	2003	1	14	6.42	0.171	0.208	13.4	0.19	175	12	0.253576	0.580912	0.3165
6318978-570563	6318978	570563	3125347200	2003	1	14	6.42	0.171		13.4			12			
6318978-570563	6318978	570563	3128025600	2003	2	14	6.4	0.15	0.206	11.9	0.192	185	13	0.231782	0.532134	0.288785714
6318978-570563	6318978	570563	3128025600	2003	2	14	6.4	0.15		11.9			13			
6318978-570563	6318978	570563	3130617600	2003	3	16	6.41	0.151	0.22	13.4	0.203	232	11	0.22434	0.53158	0.292428571
6318978-570563	6318978	570563	3130617600	2003	3	16	6.41	0.151		13.4			11			
6318978-570563	6318978	570563	3133209600	2003	4	15	6.68	0.14	0.187	11.8	0.138	169	13	0.204739	0.468243	0.252928571
6318978-570563	6318978	570563	3133209600	2003	4	15	6.68	0.14		11.8			13			
6318978-570563	6318978	570563	3135715200	2003	5	14	6.77	0.158	0.197	10.6	0.142	66	18	0.214709	0.513133	0.295285714
6318978-570563	6318978	570563	3135715200	2003	5	14	6.77	0.158		10.6			18			
6318978-570563	6318978	570563	3138566400	2003	6	16	6.86	0.173	0.22	11.4	0.128	4	15	0.20334	0.49558	0.293714286
6318978-570563	6318978	570563	3138566400	2003	6	16	6.86	0.173		11.4			15			
6318978-570563	6318978	570563	3141072000	2003	7	15	6.67	0.177	0.199	12.5	0.153	14	17	0.190503	0.512911	0.323
6318978-570563	6318978	570563	3141072000	2003	7	15	6.67	0.177		12.5			17			
6318978-570563	6318978	570563	3143923200	2003	8	17	6.75	0.224	0.202	15.9	0.288	38	16	0.134194	0.521578	0.386285714
6318978-570563	6318978	570563	3143923200	2003	8	17	6.75	0.224		15.9			16			
6318978-570563	6318978	570563	3146515200	2003	9	16	6.81	0.192	0.21	15.4	0.243	107	28	0.13937	0.51469	0.369357143
6318978-570563	6318978	570563	3146515200	2003	9	16	6.81	0.192		15.4			28			
6318978-570563	6318978	570563	3149020800	2003	10	15	6.94	0.179	0.194	14.2	0.217	350	11	0.148018	0.498466	0.327
6318978-570563	6318978	570563	3149020800	2003	10	15	6.94	0.179		14.2			11			
6318978-570563	6318978	570563	3151872000	2003	11	17	6.98	0.179	0.183	14.8	0.211	104	11	0.153151	0.517687	0.358571429
6318978-570563	6318978	570563	3151872000	2003	11	17	6.98	0.179		14.8			11			
6318978-570563	6318978	570563	3154291200	2003	12	15	6.98	0.176	0.207	13	0.2	233	23	0.166679	0.493023	0.311357143
6318978-570563	6318978	570563	3154291200	2003	12	15	6.98	0.176		13			23			
6318978-570563	6318978	570563	3156883200	2004	1	14	6.64	0.157	0.202	14.3	0.217	211	13	0.161194	0.485578	0.310928571
6318978-570563	6318978	570563	3159648000	2004	2	15	6.46	0.154	0.179	13.2	0.245	237	13	0.166563	0.481131	0.299071429
6318978-570563	6318978	570563	3162153600	2004	3	15	6.77	0.161	0.186	14.8	0.236	268	12	0.171842	0.487354	0.297857143
6318978-570563	6318978	570563	3164745600	2004	4	14	6.73	0.143	0.198	13	0.202	196	14	0.170606	0.451022	0.268
6318978-570563	6318978	570563	3167164800	2004	5	12	6.83	0.155	0.191	12.8	0.193	71	13	0.173327	0.491799	0.314928571
6318978-570563	6318978	570563	3170102400	2004	6	15	7.12	0.17	0.188	12.6	0.146	14	19	0.187636	0.519132	0.332
6318978-570563	6318978	570563	3173040000	2004	7	19	6.77	0.183	0.174	13.2	0.148	17	22	0.174078	0.494686	0.320785714
6318978-570563	6318978	570563	3175459200	2004	8	16	6.75	0.238	0.192	15.4	0.267	29	31	0.132224	0.515688	0.382928571
6318978-570563	6318978	570563	3178051200	2004	9	15	6.92	0.194	0.174	15.2	0.215	61	12	0.143078	0.517686	0.371642857
6318978-570563	6318978	570563	3180816000	2004	10	17	6.71	0.184	0.181	14.2	0.222	98	16	0.148357	0.494909	0.341
6318978-570563	6318978	570563	3183321600	2004	11	15	6.8	0.153	0.17	15.5	0.262	150	15	0.14049	0.47213	0.322285714
6318978-570563	6318978	570563	3185827200	2004	12	14	6.73	0.133	0.159	15	0.287	194	11	0.135623	0.465351	0.317142857
6318978-570563	6318978	570563	3188592000	2005	1	15	6.7	0.125	0.179	15.4	0.313	409	34	0.130563	0.447131	0.288785714
6318978-570563	6318978	570563	3191356800	2005	2	16	6.55	0.147	0.171	17.3	0.341	196	14	0.144387	0.505019	0.348
6318978-570563	6318978	570563	3193603200	2005	3	14	6.57	0.15	0.173	16	0.317	197	16	0.133181	0.492797	0.346928571
6318978-570563	6318978	570563	3196540800	2005	4	17	6.59	0.124	0.177	14.9	0.259	182	14	0.123769	0.397353	0.262
6318978-570563	6318978	570563	3199132800	2005	5	17	6.81	0.139	0.189	14.1	0.233	99	19	0.131533	0.438021	0.300928571
6318978-570563	6318978	570563	3201465600	2005	6	13	6.87	0.135	0.179	12.7	0.195	20	18	0.132563	0.418131	0.285571429
6318978-570563	6318978	570563	3204057600	2005	7	13	6.91	0.173	0.222	13.8	0.177	7	21	0.141134	0.443358	0.3035
6318978-570563	6318978	570563	3207081600	2005	8	17	6.94	0.183	0.182	10.6	0.141	19	17	0.147254	0.479798	0.332642857
6318978-570563	6318978	570563	3209328000	2005	9	12	6.99	0.183	0.213	11.7	0.134	52	17	0.139061	0.423357	0.282285714
6318978-570563	6318978	570563	3211920000	2005	10	12	7.02	0.193	0.211	11.6	0.118	388	13	0.133267	0.430579	0.271285714
6318978-570563	6318978	570563	3214771200	2005	11	14	6.96	0.181	0.207	10.7	0.116	38	19	0.143679	0.421023	0.276285714
6318978-570563	6318978	570563	3217104000	2005	12	11	6.85	0.186	0.216	10.3	0.112	65	15	0.151752	0.420024	0.265357143
6318978-570563	6318978	570563	3220300800	2006	1	17	6.75	0.196	0.19	13.1	0.121	92	12	0.15243	0.48791	0.330428571
6318978-570563	6318978	570563	3222633600	2006	2	13	6.66	0.198	0.198	10.4	0.142	138	12	0.149606	0.470022	0.312142857
6318978-570563	6318978	570563	3225139200	2006	3	14	6.63	0.204	0.201	11.9	0.157	152	13	0.154297	0.482689	0.319142857
6318978-570563	6318978	570563	3228076800	2006	4	17	6.68	0.116	0.182	13	0.193	58	17	0.141254	0.389798	0.245857143
6318978-570563	6318978	570563	3230409600	2006	5	14	6.59	0.133	0.183	15.6	0.24	168	17	0.165151	0.445687	0.27
6318978-570563	6318978	570563	3233088000	2006	6	14	6.74	0.156	0.2	13.9	0.217	64	16	0.1604	0.4598	0.296428571
6318978-570563	6318978	570563	3236025600	2006	7	18	6.88	0.182	0.212	14.2	0.175	19	16	0.159164	0.485468	0.326642857
6318978-570563	6318978	570563	3238358400	2006	8	14	6.89	0.209	0.213	14.7	0.14	2	19	0.150061	0.504357	0.355857143
6318978-570563	6318978	570563	3241296000	2006	9	17	6.78	0.181	0.21	12.2	0.127	6	15	0.18537	0.49369	0.309571429
6318978-570563	6318978	570563	3243801600	2006	10	16	6.93	0.202	0.199	12.3	0.116	52	11	0.159503	0.493911	0.332285714
6318978-570563	6318978	570563	3246220800	2006	11	13	6.63	0.161	0.196	12.5	0.128	97	17	0.171812	0.461244	0.284071429
6318978-570563	6318978	570563	3248812800	2006	12	13	6.59	0.134	0.19	15.5	0.219	148	16	0.16843	0.47291	0.295428571
6318978-570563	6318978	570563	3251750400	2007	1	16	6.68	0.122	0.18	16.3	0.273	185	17	0.15646	0.46502	0.296785714
6318978-570563	6318978	570563	3254169600	2007	2	13	6.58	0.117	0.18	16.3	0.289	224	14	0.14946	0.41802	0.254
6318978-570563	6318978	570563	3256675200	2007	3	14	6.42	0.106	0.187	17.4	0.302	274	10	0.147739	0.398243	0.232428571
6318978-570563	6318978	570563	3259526400	2007	4	16	6.61	0.116	0.188	15.3	0.275	190	9	0.144636	0.404132	0.247428571
6318978-570563	6318978	570563	3262550400	2007	5	21	6.82	0.126	0.183	14.8	0.217	57	12	0.154151	0.426687	0.269928571
6318978-570563	6318978	570563	3264537600	2007	6	13	6.86	0.14	0.209	13.4	0.163	1	10	0.162473	0.422801	0.261928571
6318978-570563	6318978	570563	3267302400	2007	7	15	7.05	0.144	0.175	12.1	0.148	1	11	0.163975	0.449575	0.286928571
6318978-570563	6318978	570563	3269894400	2007	8	14	6.7	0.209	0.185	13.6	0.204	37	12	0.123945	0.466465	0.341357143
6318978-570563	6318978	570563	3272745600	2007	9	16	7.08	0.186	0.175	14	0.19	53	17	0.133975	0.457575	0.321214286
6318978-570563	6318978	570563	3275164800	2007	10	14	6.91	0.178	0.191	13.2	0.173	108	13	0.139327	0.436799	0.291285714
6318978-570563	6318978	570563	3277670400	2007	11	12	7	0.17	0.191	15.2	0.231	138	15	0.134327	0.434799	0.292142857
6318978-570563	6318978	570563	3280608000	2007	12	16	6.72	0.13	0.17	15.7	0.26	215	14	0.12049	0.42413	0.289642857
6318978-570563	6318978	570563	3283200000	2008	1	15	6.79	0.146	0.177	16.5	0.318	188	15	0.126769	0.419353	0.280571429
6318978-570563	6318978	570563	3286051200	2008	2	17	6.66	0.131	0.16	17.2	0.319	207	13	0.12052	0.42924	0.295214286
6318978-570563	6318978	570563	3288470400	2008	3	16	6.71	0.131	0.172	15.5	0.317	204	16	0.123284	0.402908	0.266428571
6318978-570563	6318978	570563	3290889600	2008	4	13	6.75	0.135	0.164	15.3	0.279	199	14	0.123108	0.409796	0.273785714
6318978-570563	6318978	570563	3293481600	2008	5	13	6.79	0.146	0.169	14.5	0.234	128	14	0.125593	0.431241	0.297857143
6318978-570563	6318978	570563	3296419200	2008	6	16	6.87	0.16	0.196	14.3	0.19	4	15	0.137812	0.425244	0.288714286
6318978-570563	6318978	570563	3298924800	2008	7	15	6.93	0.164	0.18	12.9	0.155	11	20	0.13746	0.43202	0.295214286
6318978-570563	6318978	570563	3301862400	2008	8	18	7.09	0.192	0.173	11.1	0.124	1	13	0.123181	0.453797	0.331928571
6318978-570563	6318978	570563	3304195200	2008	9	14	6.94	0.195	0.178	12.2	0.127	22	12	0.121666	0.436242	0.314428571
6318978-570563	6318978	570563	3306787200	2008	10	14	6.96	0.187	0.175	11.6	0.144	43	12	0.119975	0.430575	0.308928571
6318978-570563	6318978	570563	3309638400	2008	11	16	6.87	0.164	0.17	13	0.202	124	14	0.12049	0.42813	0.300142857
6318978-570563	6318978	570563	3312057600	2008	12	14	6.59	0.145	0.159	16	0.282	182	12	0.125623	0.434351	0.297
6318978-570563	6318978	570563	3315081600	2009	1	18	6.55	0.143	0.168	19.8	0.363	170	14	0.119696	0.454352	0.323857143
6318978-570563	6318978	570563	3317500800	2009	2	15	6.49	0.143	0.182	18.5	0.365	191	13	0.117254	0.411798	0.282357143
6318978-570563	6318978	570563	3319401600	2009	3	9	6.5	0.147	0.167	17.9	0.335	200	13	0.110799	0.430463	0.306714286
6318978-570563	6318978	570563	3322512000	2009	4	14	6.66	0.137	0.163	16.8	0.275	26	14	0.112211	0.404907	0.292142857
6318978-570563	6318978	570563	3325363200	2009	5	17	6.83	0.142	0.174	15.5	0.215	71	19	0.119078	0.414686	0.291928571
6318978-570563	6318978	570563	3327782400	2009	6	14	6.87	0.139	0.172	14.9	0.162	3	20	0.128284	0.388908	0.261785714
6318978-570563	6318978	570563	3330460800	2009	7	15	6.95	0.176	0.17	14.5	0.156	3	19	0.12149	0.41613	0.295785714
6318978-570563	6318978	570563	3333225600	2009	8	16	7	0.19	0.175	11.7	0.124	2	17	0.111975	0.438575	0.327857143
6318978-570563	6318978	570563	3335817600	2009	9	15	7.04	0.183	0.182	12.1	0.1	1	15	0.117254	0.403798	0.287928571
6318978-570563	6318978	570563	3338236800	2009	10	13	7.07	0.169	0.184	12.1	0.089	9	12	0.119048	0.400576	0.282357143
6318978-570563	6318978	570563	3341088000	2009	11	15	6.89	0.168	0.181	13.3	0.085	51	11	0.128357	0.395909	0.265357143
6318978-570563	6318978	570563	3343680000	2009	12	15	6.82	0.165	0.16	10.9	0.117	88	11	0.11752	0.41824	0.295714286
6318978-570563	6318978	570563	3346531200	2010	1	17	6.6	0.179	0.189	13.1	0.182	142	11	0.151533	0.447021	0.286857143
6318978-570563	6318978	570563	3349036800	2010	2	15	6.58	0.181	0.187	14.4	0.202	175	10	0.145739	0.445243	0.2885
6318978-570563	6318978	570563	3351369600	2010	3	14	6.52	0.177	0.186	14.1	0.205	204	10	0.144842	0.455354	0.297428571
6318978-570563	6318978	570563	3354048000	2010	4	14	6.39	0.11	0.17	15.7	0.222	244	15	0.14149	0.37113	0.213571429
6318978-570563	6318978	570563	3356812800	2010	5	16	6.53	0.117	0.168	15.8	0.226	159	14	0.143696	0.387352	0.233642857
6318978-570563	6318978	570563	3359404800	2010	6	15	6.73	0.132	0.174	16	0.192	70	17	0.136078	0.373686	0.234
6318978-570563	6318978	570563	3361910400	2010	7	14	6.72	0.161	0.184	13.3	0.16	5	17	0.138048	0.406576	0.269642857
6318978-570563	6318978	570563	3364761600	2010	8	16	6.85	0.164	0.175	11.5	0.117	2	9	0.140975	0.395575	0.255857143
6318978-570563	6318978	570563	3367267200	2010	9	14	6.87	0.17	0.175	12.8	0.109	5	12	0.130975	0.394575	0.264642857
6318978-570563	6318978	570563	3369859200	2010	10	14	6.88	0.159	0.174	12.2	0.119	26	9	0.131078	0.381686	0.250142857
6318978-570563	6318978	570563	3372537600	2010	11	14	6.9	0.161	0.171	13.6	0.15	100	11	0.133387	0.407019	0.267857143
6318978-570563	6318978	570563	3374956800	2010	12	12	6.18	0.088	0.159	20.9	0.32	146	14	0.125623	0.364351	0.229571429
6318978-570563	6318978	570563	3377980800	2011	1	16	6.13	0.11	0.161	21.6	0.362	139	13	0.120417	0.385129	0.256071429
6318978-570563	6318978	570563	3380400000	2011	2	13	6.16	0.107	0.164	22.1	0.368	171	12	0.118108	0.401796	0.272785714
6318978-570563	6318978	570563	3382992000	2011	3	15	6.25	0.111	0.162	20.7	0.363	176	12	0.114314	0.386018	0.260428571
6318978-570563	6318978	570563	3385843200	2011	4	17	6.43	0.098	0.145	18.3	0.291	140	14	0.100065	0.332905	0.224
6318978-570563	6318978	570563	3388262400	2011	5	15	6.59	0.121	0.149	16.6	0.247	58	18	0.102653	0.357461	0.251857143
6318978-570563	6318978	570563	3390854400	2011	6	14	6.76	0.119	0.159	16	0.194	2	19	0.122623	0.377351	0.255857143
6318978-570563	6318978	570563	3393705600	2011	7	17	6.71	0.128	0.155	14.9	0.16	2	21	0.122035	0.390795	0.269857143
6318978-570563	6318978	570563	3396124800	2011	8	14	6.83	0.17	0.155	12.6	0.152	4	15	0.105035	0.387795	0.283714286
6318978-570563	6318978	570563	3398803200	2011	9	14	7.01	0.166	0.152	13.1	0.145	15	13	0.104344	0.382128	0.277928571
6318978-570563	6318978	570563	3401568000	2011	10	16	6.91	0.168	0.152	12.9	0.152	54	15	0.104344	0.391128	0.284142857
6318978-570563	6318978	570563	3404073600	2011	11	14	6.62	0.167	0.155	12.5	0.167	104	11	0.111035	0.369795	0.252571429
6318978-570563	6318978	570563	3406665600	2011	12	14	6.86	0.164	0.156	12.8	0.184	153	11	0.112932	0.378684	0.256071429
6318978-570563	6318978	570563	3409430400	2012	1	15	6.64	0.128	0.158	15.3	0.273	200	14	0.113726	0.378462	0.251714286
6318978-570563	6318978	570563	3412022400	2012	2	14	6.38	0.133	0.17	17.9	0.316	189	13	0.11549	0.40713	0.2795
6318978-570563	6318978	570563	3414873600	2012	3	18	6.5	0.127	0.161	15.9	0.278	179	13	0.103417	0.355129	0.240214286
6318978-570563	6318978	570563	3417379200	2012	4	16	6.65	0.152	0.166	16.2	0.253	143	12	0.109902	0.370574	0.251785714
6318978-570563	6318978	570563	3419884800	2012	5	15	6.73	0.118	0.172	15	0.215	51	19	0.112284	0.375908	0.261357143
6318978-570563	6318978	570563	3422304000	2012	6	12	6.76	0.13	0.178	14.2	0.165	2	16	0.122666	0.366242	0.244857143
6318978-570563	6318978	570563	3425155200	2012	7	15	6.83	0.152	0.174	12.7	0.136	2	21	0.113078	0.391686	0.279857143
6318978-570563	6318978	570563	3427833600	2012	8	15	6.85	0.192	0.175	15.4	0.199	25	17	0.095975	0.441575	0.345214286
6318978-570563	6318978	570563	3430598400	2012	9	16	7.01	0.174	0.179	14.1	0.172	19	15	0.109563	0.406131	0.296642857
6318978-570563	6318978	570563	3433104000	2012	10	15	6.9	0.17	0.173	13.2	0.155	52	14	0.114181	0.350797	0.234285714
6318978-570563	6318978	570563	3435609600	2012	11	13	6.77	0.146	0.166	15.3	0.217	111	13	0.114902	0.375574	0.254071429
6318978-570563	6318978	570563	3438460800	2012	12	16	6.44	0.137	0.171	17.2	0.281	153	13	0.113387	0.378719	0.255771429
6318978-570563	6318978	570563	3440966400	2013	1	14	6.31	0.107	0.167	19.4	0.315	176	13	0.102799	0.330663	0.216628571
6318978-570563	6318978	570563	3443558400	2013	2	13	6.22	0.103	0.17	19.3	0.35	184	14	0.10749	0.34803	0.228757143
6318978-570563	6318978	570563	3446323200	2013	3	17	6.27	0.111	0.174	20.1	0.324	191	70	0.105078	0.342686	0.225357143
6318978-570563	6318978	570563	3448828800	2013	4	15	6.29	0.121	0.17	17.1	0.287	202	13	0.10449	0.36373	0.246171429
6318978-570563	6318978	570563	3451420800	2013	5	15	6.63	0.123	0.16	15.6	0.231	86	16	0.09352	0.34024	0.241857143
6318978-570563	6318978	570563	3454185600	2013	6	16	6.76	0.134	0.159	14.8	0.202	46	18	0.097623	0.351151	0.251514286
6318978-570563	6318978	570563	3456691200	2013	7	15	6.55	0.15	0.158	15.2	0.222	30	16	0.090726	0.358962	0.267357143
6318978-570563	6318978	570563	3459628800	2013	8	18	6.68	0.156	0.162	14.8	0.183	3	16	0.095314	0.377018	0.282785714
6318978-570563	6318978	570563	3462048000	2013	9	15	6.79	0.162	0.169	13.4	0.155	4	14	0.098593	0.374341	0.276814286
6318978-570563	6318978	570563	3464467200	2013	10	13	6.89	0.162	0.168	13	0.141	10	12	0.100696	0.370652	0.270585714
6318978-570563	6318978	570563	3467059200	2013	11	12	6.87	0.153	0.164	11.9	0.124	39	11	0.112108	0.371096	0.257514286
6318978-570563	6318978	570563	3469910400	2013	12	15	6.67	0.148	0.161	12.7	0.148	58	10	0.119417	0.401629	0.279357143
6318978-570563	6318978	570563	3472416000	2014	1	13	6.68	0.133	0.158	12.2	0.175	115	10	0.111726	0.386862	0.268185714
6318978-570563	6318978	570563	3475267200	2014	2	15	6.44	0.128	0.169	13.8	0.208	180	10.6	0.130593	0.372541	0.230442857
6318978-570563	6318978	570563	3477254400	2014	3	10	6.64	0.113	0.164	14.2	0.208	172	10.5	0.127108	0.372096	0.234014286
6318978-570563	6318978	570563	3480192000	2014	4	13	6.78	0.124	0.17	13.7	0.199	136	13.1	0.13949	0.38433	0.236485714
6318978-570563	6318978	570563	3482870400	2014	5	14	6.72	0.132	0.172	13.4	0.171	57	15.5	0.137284	0.391708	0.251728571
6318978-570563	6318978	570563	3485635200	2014	6	15	6.82	0.149	0.177	12.8	0.147	1.5	14.2	0.134769	0.393853	0.260392857
6318978-570563	6318978	570563	3488140800	2014	7	14	6.78	0.161	0.18	12.5	0.118	1.5	17.4	0.13046	0.38852	0.259392857
6318978-570563	6318978	570563	3491164800	2014	8	18	6.85	0.175	0.18	12	0.102	12	17	0.12946	0.40202	0.273142857
6318978-570563	6318978	570563	3493670400	2014	9	16	6.96	0.172	0.179	11.5	0.106	1.5	12.7	0.121563	0.383731	0.263492857
6318978-570563	6318978	570563	3496176000	2014	10	15	6.98	0.166	0.176	10.2	0.09	15	11.4	0.117872	0.389764	0.272228571
6318978-570563	6318978	570563	3498854400	2014	11	15	6.58	0.137	0.172	13.5	0.161	101	11.8	0.127284	0.378508	0.245385714
6318978-570563	6318978	570563	3501360000	2014	12	14	6.58	0.122	0.173	15.6	0.224	133	12.3	0.120181	0.392697	0.2644
